Orthogroup	MEGAHIT-AR1_L2.36	MEGAHIT-AR2_L2.57	MEGAHIT-AR3_L2.6	MEGAHIT-AR4_L2.41	acidihalobacter_aeolianus	acidihalobacter_ferrooxydans	acidihalobacter_prosperus	acidihalobacter_yilgarnensis	acidithiobacillus_ferrooxidans	acidithiobacillus_thiooxidans	burkholderia_pseudomallei	e_coli	l_ferriphilum.gbk	leptospirillum_ferriphilum	leptospirillum_ferrooxidans	pseudomonas_aeruginosa_pao1	s_maltophilia	shewanella_oneidensis	stenotrophomonas_maltophilia
OG0000000	IEKBFFFE_00044, IEKBFFFE_00702, IEKBFFFE_00771, IEKBFFFE_00995, IEKBFFFE_00996, IEKBFFFE_01583, IEKBFFFE_01805, IEKBFFFE_02071, IEKBFFFE_02207, IEKBFFFE_02457, IEKBFFFE_03163, IEKBFFFE_03256, IEKBFFFE_03341	OIDPMNJM_00058, OIDPMNJM_00059, OIDPMNJM_00104, OIDPMNJM_00440, OIDPMNJM_00597, OIDPMNJM_00704, OIDPMNJM_00820, OIDPMNJM_01863, OIDPMNJM_02283, OIDPMNJM_02311, OIDPMNJM_03184, OIDPMNJM_03553, OIDPMNJM_03746, OIDPMNJM_03846, OIDPMNJM_04114, OIDPMNJM_04177, OIDPMNJM_04178	LNLMDAFO_00406, LNLMDAFO_00464, LNLMDAFO_00677, LNLMDAFO_00710, LNLMDAFO_01429, LNLMDAFO_01448, LNLMDAFO_01449, LNLMDAFO_01539, LNLMDAFO_01970, LNLMDAFO_02413, LNLMDAFO_02470, LNLMDAFO_03064	KPCADNOF_00244	AOV15813.1, AOV15885.1, AOV15951.1, AOV15984.1, AOV16208.1, AOV16215.1, AOV16216.1, AOV16217.1, AOV16224.1, AOV16225.1, AOV16260.1, AOV16270.1, AOV16273.1, AOV16412.1, AOV16446.1, AOV17193.1, AOV17651.1, AOV17768.1, AOV17795.1, AOV17813.1, AOV17985.1, AOV18221.1, AOV18350.1, AOV18566.1, AOV18736.1, AOV18751.1, AOV18810.1	APZ41780.1, APZ42158.1, APZ42214.1, APZ43198.1, APZ43418.1, APZ43690.1, APZ44203.1, APZ44251.1, APZ44288.1	OBS08017.1, OBS08315.1, OBS08422.1, OBS08463.1, OBS08472.1, OBS08478.1, OBS08856.1, OBS09165.1, OBS09257.1, OBS09289.1, OBS09365.1, OBS09438.1, OBS10104.1, OBS10130.1, OBS10233.1, OBS10255.1, OBS10487.1, OBS10561.1	AOU96933.1, AOU97077.1, AOU97078.1, AOU97114.1, AOU97121.1, AOU97126.1, AOU97640.1, AOU98126.1, AOU98800.1, AOU98922.1, AOU98947.1, AOU99068.1, AOU99161.1, AOU99245.1, AOU99297.1, AOU99299.1, AOU99437.1, AOU99564.1, AOU99726.1, AOU99800.1	WP_012536716.1, WP_113526628.1	WP_010639275.1, WP_010639739.1, WP_010640967.1, WP_029316246.1, WP_157999017.1, WP_157999033.1, WP_157999054.1	WP_004185903.1, WP_004190283.1, WP_004528082.1, WP_004530921.1, WP_004534726.1, WP_011204972.1	WP_000043761.1, WP_000859945.1, WP_000969032.1, WP_001266293.1, WP_001301264.1, WP_001310896.1, WP_001360132.1	LFTS_00405, LFTS_00479, LFTS_00501, LFTS_00575, LFTS_00709, LFTS_00714, LFTS_00733, LFTS_00967, LFTS_01005, LFTS_01577, LFTS_01595, LFTS_01845, LFTS_01908	WP_023525729.1, WP_036081380.1, WP_036081433.1, WP_036082956.1, WP_036083134.1, WP_049713715.1, WP_052157725.1, WP_052157839.1, WP_052157945.1, WP_052157960.1, WP_143468987.1, WP_161781719.1, WP_161781734.1	WP_014448254.1, WP_014448371.1, WP_014448407.1, WP_014448635.1, WP_014448651.1, WP_014448667.1, WP_014448699.1, WP_014449204.1, WP_014449338.1, WP_014449351.1, WP_014450039.1, WP_014450459.1, WP_014450471.1, WP_014450472.1, WP_014450513.1, WP_014450515.1, WP_014450516.1, WP_041774011.1, WP_050989473.1, WP_050989520.1, WP_050989527.1, WP_050989539.1, WP_081495434.1, WP_148272632.1, WP_158310238.1, WP_158310268.1	NP_248976.1, NP_249266.1, NP_249538.1, NP_249552.1, NP_249811.1, NP_249872.1, NP_250418.1, NP_250762.1, NP_251257.1, NP_252001.1, NP_252636.1, NP_253057.1, NP_253291.1, NP_253616.1, NP_253704.1, NP_253982.1, NP_254129.1	WP_005408197.1, WP_005409582.1, WP_005410383.1, WP_005412645.1, WP_005412713.1, WP_012480104.1, WP_012480130.1, WP_223846490.1	WP_011070544.1, WP_011070706.1, WP_011070785.1, WP_011070793.1, WP_011070885.1, WP_011070957.1, WP_011071311.1, WP_011071438.1, WP_011071478.1, WP_011071683.1, WP_011072240.1, WP_011072409.1, WP_011072463.1, WP_011072496.1, WP_011072981.1, WP_011073256.1, WP_011073842.1, WP_011073983.1, WP_011074159.1, WP_238560504.1, WP_238560530.1, WP_238560531.1	WP_005408197.1, WP_005409582.1, WP_005410383.1, WP_005412645.1, WP_005412713.1, WP_012480104.1, WP_012480130.1, WP_223846490.1
OG0000001	IEKBFFFE_00199, IEKBFFFE_00468, IEKBFFFE_01147, IEKBFFFE_01456, IEKBFFFE_01781, IEKBFFFE_01911, IEKBFFFE_02288, IEKBFFFE_02290, IEKBFFFE_02629, IEKBFFFE_02766	OIDPMNJM_00796, OIDPMNJM_00840, OIDPMNJM_01332, OIDPMNJM_01730, OIDPMNJM_01732, OIDPMNJM_01898, OIDPMNJM_02300, OIDPMNJM_02385, OIDPMNJM_02445, OIDPMNJM_03423, OIDPMNJM_03651, OIDPMNJM_04216, OIDPMNJM_04454, OIDPMNJM_04866, OIDPMNJM_04982	LNLMDAFO_00299, LNLMDAFO_00569, LNLMDAFO_00571, LNLMDAFO_00963, LNLMDAFO_01065, LNLMDAFO_01405, LNLMDAFO_01925, LNLMDAFO_02212, LNLMDAFO_02813, LNLMDAFO_03308	KPCADNOF_00032, KPCADNOF_00055, KPCADNOF_00119, KPCADNOF_00390, KPCADNOF_00539, KPCADNOF_00554, KPCADNOF_00941, KPCADNOF_01089, KPCADNOF_01119, KPCADNOF_01167, KPCADNOF_01211, KPCADNOF_01215, KPCADNOF_01256, KPCADNOF_01285, KPCADNOF_01739, KPCADNOF_01892, KPCADNOF_02019, KPCADNOF_02029, KPCADNOF_02166, KPCADNOF_02233, KPCADNOF_02469, KPCADNOF_02524, KPCADNOF_02551, KPCADNOF_02676, KPCADNOF_02987, KPCADNOF_03001, KPCADNOF_03110, KPCADNOF_03828	AOV15752.1, AOV15864.1, AOV16627.1, AOV16629.1, AOV16840.1, AOV17442.1, AOV17775.1, AOV17859.1, AOV17887.1, AOV18245.1, AOV18671.1	APZ41721.1, APZ41924.1, APZ41950.1, APZ42977.1, APZ43001.1, APZ43185.1, APZ43381.1, APZ43957.1, APZ44609.1	OBS08105.1, OBS08243.1, OBS09011.1, OBS09039.1, OBS09391.1, OBS09493.1, OBS09827.1, OBS09829.1, OBS10501.1, OBS10617.1, OBS10708.1	AOU96748.1, AOU97348.1, AOU97386.1, AOU97654.1, AOU98475.1, AOU98983.1, AOU99263.1, AOU99348.1, AOU99699.1, AOU99757.1	WP_009560941.1, WP_009567366.1, WP_012536141.1, WP_012536296.1, WP_012536581.1, WP_012537464.1, WP_012537498.1, WP_041645259.1, WP_229129755.1	WP_010637203.1, WP_010637257.1, WP_010639175.1, WP_010639301.1, WP_010639864.1, WP_010639966.1, WP_010639971.1, WP_010640895.1, WP_010641185.1, WP_050816103.1, WP_226825859.1, WP_226826127.1	WP_004187662.1, WP_004187694.1, WP_004188321.1, WP_004189039.1, WP_004192300.1, WP_004198029.1, WP_004526108.1, WP_004538115.1, WP_004551242.1, WP_004553906.1, WP_004554106.1, WP_009931394.1	WP_000125282.1, WP_000148503.1, WP_000417791.1, WP_000941041.1, WP_001188777.1, WP_001251544.1, WP_001295369.1, WP_001301108.1, WP_001301332.1	LFTS_00042, LFTS_00147, LFTS_00196, LFTS_00199, LFTS_00438, LFTS_00534, LFTS_00568, LFTS_00573, LFTS_01213, LFTS_01831, LFTS_01867, LFTS_01957, LFTS_02093, LFTS_02144, LFTS_02317, LFTS_02420	WP_014961653.1, WP_014961812.1, WP_023524640.1, WP_036079692.1, WP_036080011.1, WP_036080021.1, WP_036080898.1, WP_036082926.1, WP_052157704.1, WP_052157759.1, WP_052157774.1, WP_052157781.1, WP_052157815.1, WP_099590512.1, WP_099590625.1, WP_099590665.1	WP_014448261.1, WP_014448478.1, WP_014448481.1, WP_014448889.1, WP_014448966.1, WP_014448978.1, WP_014449203.1, WP_014450080.1, WP_014450353.1, WP_014450413.1, WP_232502561.1	NP_249788.1, NP_249790.1, NP_249887.1, NP_250026.1, NP_250354.1, NP_250635.1, NP_250695.1, NP_251044.1, NP_251049.1, NP_252621.1, NP_253237.1, NP_253414.1, NP_253812.1, NP_253853.1, NP_254170.1, NP_254198.1	WP_005410795.1, WP_012478733.1, WP_012480113.1, WP_012480355.1, WP_012481008.1, WP_012481316.1	WP_011071927.1, WP_011072957.1, WP_011073030.1, WP_011073114.1, WP_011073116.1, WP_011073458.1, WP_011073484.1, WP_011074101.1, WP_011074304.1	WP_005410795.1, WP_012478733.1, WP_012480113.1, WP_012480355.1, WP_012481008.1, WP_012481316.1
OG0000002	IEKBFFFE_01121, IEKBFFFE_03469, IEKBFFFE_03582, IEKBFFFE_03619	OIDPMNJM_00416, OIDPMNJM_01059, OIDPMNJM_01060, OIDPMNJM_02609, OIDPMNJM_04871, OIDPMNJM_05251	LNLMDAFO_02060, LNLMDAFO_02107, LNLMDAFO_02976, LNLMDAFO_03343	KPCADNOF_00344, KPCADNOF_02928, KPCADNOF_02976, KPCADNOF_03596	AOV15879.1, AOV16071.1, AOV16084.1, AOV16252.1, AOV16487.1, AOV16686.1, AOV16900.1, AOV17744.1, AOV18372.1, AOV18447.1, AOV18460.1, AOV18755.1	APZ43007.1, APZ43009.1	OBS07867.1, OBS08015.1, OBS08539.1, OBS08571.1, OBS08722.1, OBS09217.1, OBS09372.1, OBS09691.1, OBS09817.1, OBS09818.1, OBS09878.1, OBS10686.1	AOU96937.1, AOU97175.1, AOU97203.1, AOU97308.1, AOU97465.1, AOU97778.1, AOU97817.1, AOU98187.1, AOU98408.1, AOU98464.1, AOU98465.1, AOU98466.1, AOU99708.1, AOU99792.1		WP_235179950.1	WP_004187329.1, WP_004191606.1, WP_004195354.1, WP_004524029.1, WP_004524162.1, WP_004524990.1, WP_004525719.1, WP_004526156.1, WP_004529761.1, WP_004534748.1, WP_004552066.1, WP_004552880.1, WP_004553008.1, WP_004553113.1, WP_004554092.1, WP_014696855.1, WP_024431032.1, WP_024431563.1, WP_038742977.1, WP_038794545.1, WP_038803065.1	WP_000483239.1, WP_000919536.1, WP_001098559.1, WP_001297437.1	LFTS_00048, LFTS_00183, LFTS_00227, LFTS_01548, LFTS_01731, LFTS_02147	WP_023524366.1, WP_036083266.1, WP_052157684.1, WP_143469141.1, WP_161781769.1, WP_180271656.1	WP_014448507.1, WP_014448720.1, WP_081495456.1, WP_232502577.1, WP_232502597.1, WP_232502601.1, WP_232502602.1	NP_248866.1, NP_248870.1, NP_249942.1, NP_250114.1, NP_250299.1, NP_250337.1, NP_250620.1, NP_251251.1, NP_251263.1, NP_251342.1, NP_251344.1, NP_251478.1, NP_251557.1, NP_251610.1, NP_252397.1, NP_252997.1, NP_252999.1, NP_253000.1, NP_253210.1, NP_253323.1, NP_253531.1, NP_253602.1, NP_253759.1	WP_005409587.1, WP_005411156.1, WP_005413240.1, WP_005414173.1, WP_012479546.1, WP_012480091.1, WP_012480092.1, WP_012480605.1, WP_012481583.1, WP_012481655.1, WP_044570947.1	WP_011070845.1, WP_011070920.1, WP_011071256.1, WP_011071312.1, WP_011071377.1, WP_011071497.1, WP_011071635.1, WP_011072148.1, WP_011072186.1, WP_011072257.1, WP_011072951.1, WP_011073164.1, WP_011073402.1, WP_011073445.1, WP_011073602.1, WP_011073766.1, WP_011074086.1, WP_011074163.1, WP_011074229.1, WP_011074416.1, WP_238560591.1	WP_005409587.1, WP_005411156.1, WP_005413240.1, WP_005414173.1, WP_012479546.1, WP_012480091.1, WP_012480092.1, WP_012480605.1, WP_012481583.1, WP_012481655.1, WP_044570947.1
OG0000003	IEKBFFFE_00004, IEKBFFFE_00606, IEKBFFFE_01255	OIDPMNJM_01779, OIDPMNJM_03664, OIDPMNJM_04815	LNLMDAFO_01743, LNLMDAFO_02033, LNLMDAFO_02722		AOV15817.1, AOV17986.1	APZ42156.1	OBS09277.1	AOU99153.1, AOU99802.1	WP_009562369.1	WP_010639365.1, WP_010642423.1	WP_004185837.1, WP_004187646.1, WP_004188318.1, WP_004189230.1, WP_004189405.1, WP_004192049.1, WP_004192063.1, WP_004194581.1, WP_004197652.1, WP_004198340.1, WP_004266649.1, WP_004521296.1, WP_004522591.1, WP_004522925.1, WP_004523005.1, WP_004524197.1, WP_004525408.1, WP_004525453.1, WP_004528137.1, WP_004529948.1, WP_004531197.1, WP_004536377.1, WP_004541514.1, WP_004543954.1, WP_004553290.1, WP_004553756.1, WP_004553993.1, WP_011204859.1	WP_000164036.1, WP_000357790.1, WP_000440317.1, WP_000648572.1, WP_000817708.1, WP_000935206.1, WP_001061575.1, WP_001242684.1				NP_248746.1, NP_248813.1, NP_248849.1, NP_248871.1, NP_249567.1, NP_249758.1, NP_249819.1, NP_249892.1, NP_250019.1, NP_250429.1, NP_250550.1, NP_250651.1, NP_250746.1, NP_250813.1, NP_250910.1, NP_250948.1, NP_251006.1, NP_251107.1, NP_251122.1, NP_251137.1, NP_251224.1, NP_251237.1, NP_251371.1, NP_251528.1, NP_251538.1, NP_251567.1, NP_251814.1, NP_251825.1, NP_252320.1, NP_252584.1, NP_252656.1, NP_252834.1, NP_252863.1	WP_005408112.1, WP_005409107.1, WP_005410175.1, WP_005411016.1, WP_005411584.1, WP_005412489.1, WP_005413602.1, WP_005414244.1, WP_012478804.1, WP_012478999.1, WP_012479020.1, WP_012479035.1, WP_012479212.1, WP_012479263.1, WP_012479322.1, WP_012479325.1, WP_012479333.1, WP_012479916.1, WP_012479963.1, WP_012479994.1, WP_012480268.1, WP_012480414.1, WP_012480587.1, WP_012480749.1, WP_012481205.1, WP_012481242.1, WP_012481623.1, WP_043035217.1, WP_044570309.1	WP_011070732.1, WP_011070865.1, WP_011071019.1, WP_011071129.1, WP_011071264.1, WP_011072126.1, WP_011072431.1, WP_011073231.1, WP_011073307.1, WP_011073320.1, WP_011073851.1, WP_011074141.1, WP_011074451.1, WP_238560546.1, WP_238560561.1	WP_005408112.1, WP_005409107.1, WP_005410175.1, WP_005411016.1, WP_005411584.1, WP_005412489.1, WP_005413602.1, WP_005414244.1, WP_012478804.1, WP_012478999.1, WP_012479020.1, WP_012479035.1, WP_012479212.1, WP_012479263.1, WP_012479322.1, WP_012479325.1, WP_012479333.1, WP_012479916.1, WP_012479963.1, WP_012479994.1, WP_012480268.1, WP_012480414.1, WP_012480587.1, WP_012480749.1, WP_012481205.1, WP_012481242.1, WP_012481623.1, WP_043035217.1, WP_044570309.1
OG0000004	IEKBFFFE_00967, IEKBFFFE_01976, IEKBFFFE_02376, IEKBFFFE_02670, IEKBFFFE_02817, IEKBFFFE_02922, IEKBFFFE_03088	OIDPMNJM_00353, OIDPMNJM_00657, OIDPMNJM_00880, OIDPMNJM_00990, OIDPMNJM_01031, OIDPMNJM_01805, OIDPMNJM_02943	LNLMDAFO_00788, LNLMDAFO_00905, LNLMDAFO_01014, LNLMDAFO_01183, LNLMDAFO_01506, LNLMDAFO_02794, LNLMDAFO_03422		AOV16082.1, AOV16671.1, AOV16881.1, AOV17015.1, AOV17294.1, AOV17376.1, AOV17522.1, AOV18002.1, AOV18080.1, AOV18169.1	APZ42247.1, APZ42250.1, APZ42271.1, APZ43354.1, APZ43510.1, APZ43910.1	OBS08013.1, OBS08101.1, OBS08245.1, OBS08899.1, OBS09771.1, OBS09927.1, OBS10372.1, OBS10651.1	AOU96746.1, AOU96856.1, AOU96939.1, AOU97421.1, AOU97423.1, AOU97480.1, AOU98209.1, AOU98592.1	WP_009564938.1, WP_012535757.1, WP_012535999.1, WP_012536379.1, WP_012536404.1, WP_012536894.1, WP_012537015.1, WP_012537128.1, WP_232027572.1	WP_010637024.1, WP_010637323.1, WP_010637554.1, WP_010637935.1, WP_010639011.1, WP_010639453.1, WP_010640567.1, WP_010642114.1, WP_024893638.1	WP_004193481.1, WP_004195334.1, WP_004195802.1, WP_004196705.1, WP_004196791.1, WP_004200681.1, WP_004521379.1, WP_004524701.1, WP_004526731.1, WP_004529133.1, WP_004535483.1, WP_004537932.1, WP_004552076.1, WP_038729337.1	WP_000365791.1, WP_000423261.1, WP_000442949.1, WP_000548294.1, WP_000952503.1, WP_001011462.1, WP_001019525.1, WP_001109794.1, WP_001300638.1, WP_001350493.1	LFTS_00112, LFTS_01618	WP_036079831.1, WP_036083373.1	WP_014449126.1, WP_014449532.1, WP_232502567.1	NP_248908.1, NP_250000.1, NP_250261.1, NP_250517.1, NP_250688.1, NP_250744.1, NP_251200.1, NP_251812.1, NP_252088.1, NP_252123.1, NP_252284.1, NP_252465.1, NP_253716.1, NP_253905.1, NP_254069.1, NP_254124.1	WP_005407753.1, WP_005409730.1, WP_012479711.1, WP_012479938.1, WP_044569368.1	WP_011071133.1, WP_011071304.1, WP_011072017.1, WP_011072514.1, WP_011073534.1, WP_011073837.1	WP_005407753.1, WP_005409730.1, WP_012479711.1, WP_012479938.1, WP_044569368.1
OG0000005	IEKBFFFE_00317, IEKBFFFE_01466, IEKBFFFE_01482, IEKBFFFE_01595, IEKBFFFE_01596, IEKBFFFE_01828, IEKBFFFE_01950, IEKBFFFE_03054	OIDPMNJM_00829, OIDPMNJM_00906, OIDPMNJM_02148, OIDPMNJM_02395, OIDPMNJM_02853, OIDPMNJM_02854, OIDPMNJM_04215, OIDPMNJM_05277	LNLMDAFO_00892, LNLMDAFO_01157, LNLMDAFO_01438, LNLMDAFO_01957, LNLMDAFO_01958, LNLMDAFO_02222, LNLMDAFO_02914	KPCADNOF_00979, KPCADNOF_02164, KPCADNOF_03027, KPCADNOF_03205, KPCADNOF_03214, KPCADNOF_03413	AOV16263.1, AOV16264.1, AOV16451.1, AOV16490.1, AOV16661.1, AOV17497.1, AOV18342.1, AOV18444.1	APZ41779.1, APZ41792.1, APZ41794.1, APZ43672.1, APZ44611.1	OBS08468.1, OBS08469.1, OBS08726.1, OBS09783.1, OBS09897.1, OBS10074.1	AOU97119.1, AOU97120.1, AOU97282.1, AOU97312.1, AOU98437.1, AOU98564.1		WP_010639923.1, WP_010639925.1	WP_004205478.1, WP_004524236.1, WP_004524965.1, WP_004538021.1, WP_004551205.1	WP_000086904.1, WP_000426292.1, WP_000484048.1, WP_000592814.1, WP_000628058.1, WP_000766132.1	LFTS_00029, LFTS_00503, LFTS_00562, LFTS_01060	WP_036081587.1, WP_052157677.1, WP_052157767.1, WP_052157863.1	WP_014448251.1, WP_014448932.1, WP_014449322.1, WP_014449415.1, WP_014449720.1, WP_014450206.1	NP_248859.1, NP_248981.1, NP_249029.1, NP_249798.1, NP_250542.1, NP_251461.1, NP_251867.1, NP_252033.1, NP_252391.1, NP_253022.2, NP_254174.1	WP_005407654.1, WP_005408813.1, WP_012479403.1, WP_012479590.1, WP_012479591.1, WP_012480935.1, WP_033833788.1, WP_044570455.1, WP_044570857.1, WP_044571234.1	WP_011070909.1, WP_011071093.1, WP_011071208.1, WP_011071723.1, WP_011071801.1, WP_011071842.1, WP_011072122.1, WP_011072229.1, WP_011072697.1, WP_011073204.1, WP_011073330.1, WP_011073385.1, WP_011073495.1, WP_011073617.1, WP_011073890.1, WP_011074055.1, WP_011074067.1, WP_011074089.1, WP_164925621.1, WP_164925657.1	WP_005407654.1, WP_005408813.1, WP_012479403.1, WP_012479590.1, WP_012479591.1, WP_012480935.1, WP_033833788.1, WP_044570455.1, WP_044570857.1, WP_044571234.1
OG0000006	IEKBFFFE_00164, IEKBFFFE_00277	OIDPMNJM_00613, OIDPMNJM_01503, OIDPMNJM_01771, OIDPMNJM_01822, OIDPMNJM_04741	LNLMDAFO_01300, LNLMDAFO_01567	KPCADNOF_00507, KPCADNOF_00785, KPCADNOF_00925, KPCADNOF_01137, KPCADNOF_01409, KPCADNOF_01416, KPCADNOF_01631, KPCADNOF_02384, KPCADNOF_03316, KPCADNOF_03455, KPCADNOF_03772	AOV16094.1, AOV16958.1, AOV17286.1, AOV18352.1	APZ43650.1	OBS07968.1, OBS09251.1, OBS10380.1, OBS10754.1	AOU98102.1, AOU98326.1, AOU99126.1, AOU99558.1, AOU99587.1	WP_009561353.1, WP_012535966.1, WP_012536362.1, WP_012536805.1, WP_012537064.1, WP_012537397.1, WP_012537636.1, WP_226834093.1	WP_010638581.1, WP_010639000.1, WP_010639789.1, WP_010642365.1	WP_004188441.1, WP_004190784.1, WP_004193701.1, WP_004194458.1, WP_004197704.1, WP_004198214.1, WP_004200881.1, WP_004266698.1, WP_004523897.1, WP_004524799.1, WP_004529454.1, WP_004530255.1, WP_004532086.1, WP_004535565.1, WP_004536165.1, WP_004540951.1, WP_004547176.1, WP_004549859.1, WP_004552055.1, WP_038741866.1	WP_000021334.1, WP_000079538.1, WP_000347651.1, WP_000483353.1, WP_000517431.1, WP_000603502.1, WP_000998695.1, WP_001008535.1	LFTS_00235, LFTS_02160	WP_036080057.1, WP_036082056.1	WP_014450097.1	NP_250340.1, NP_250518.1, NP_250519.1, NP_251657.1, NP_252077.1, NP_252646.1, NP_252787.1, NP_252837.1, NP_254208.1, NP_254211.1	WP_005410389.1, WP_005411052.1, WP_005411202.1, WP_012479289.1, WP_012480506.1, WP_012480580.1, WP_012480860.1, WP_012481034.1, WP_012481221.1, WP_012481595.1	WP_011072376.1, WP_011072711.1, WP_011073146.1, WP_011074036.1	WP_005410389.1, WP_005411052.1, WP_005411202.1, WP_012479289.1, WP_012480506.1, WP_012480580.1, WP_012480860.1, WP_012481034.1, WP_012481221.1, WP_012481595.1
OG0000007	IEKBFFFE_01744, IEKBFFFE_02448, IEKBFFFE_03754	OIDPMNJM_00388, OIDPMNJM_02720, OIDPMNJM_03837, OIDPMNJM_04942	LNLMDAFO_00473, LNLMDAFO_00609, LNLMDAFO_01029	KPCADNOF_00225, KPCADNOF_00372, KPCADNOF_00375, KPCADNOF_00589, KPCADNOF_01843, KPCADNOF_01853, KPCADNOF_02091	AOV15828.1, AOV15968.1, AOV17124.1, AOV17718.1	APZ44178.1, APZ44474.1	OBS08604.1, OBS09433.1, OBS10956.1	AOU97233.1, AOU97906.1, AOU99827.1	WP_009566809.1, WP_009569097.1, WP_012535791.1, WP_012536513.1, WP_012537688.1	WP_010638767.1, WP_010640404.1, WP_010642398.1, WP_010642464.1	WP_004185947.1, WP_004192125.1, WP_004199523.1, WP_004522521.1, WP_004523775.1, WP_004553252.1	WP_000113933.1, WP_000137877.1, WP_000186076.1, WP_001033722.1, WP_001092508.1, WP_001120125.1, WP_001157751.1, WP_001188654.1	LFTS_00654, LFTS_02292	WP_023524662.1, WP_036081738.1	WP_014449899.1	NP_249154.1, NP_249848.1, NP_250328.1, NP_250490.1, NP_251882.1, NP_251894.1, NP_252790.1, NP_253670.1, NP_253887.1, NP_254047.1	WP_005407947.1, WP_005407950.1, WP_005408258.1, WP_005408504.1, WP_005408779.1, WP_005412001.1, WP_005414287.1, WP_012481387.1, WP_012481546.1, WP_080047689.1	WP_011070473.1, WP_011071456.1, WP_011071727.1, WP_011073412.1, WP_011074040.1, WP_011074105.1, WP_011074227.1	WP_005407947.1, WP_005407950.1, WP_005408258.1, WP_005408504.1, WP_005408779.1, WP_005412001.1, WP_005414287.1, WP_012481387.1, WP_012481546.1, WP_080047689.1
OG0000008	IEKBFFFE_00837, IEKBFFFE_02941	OIDPMNJM_01489, OIDPMNJM_02409, OIDPMNJM_02815	LNLMDAFO_02136, LNLMDAFO_02236	KPCADNOF_00113, KPCADNOF_00318, KPCADNOF_00319, KPCADNOF_01059, KPCADNOF_01506, KPCADNOF_02097, KPCADNOF_02369, KPCADNOF_02819, KPCADNOF_02832, KPCADNOF_02856, KPCADNOF_03178, KPCADNOF_03225, KPCADNOF_03433, KPCADNOF_03794, KPCADNOF_03795		APZ41730.1, APZ41815.1	OBS10672.1	AOU98189.1		WP_010642049.1	WP_004189433.1, WP_004196422.1, WP_004198262.1, WP_004201022.1, WP_004201757.1, WP_004523212.1, WP_004524882.1, WP_004528054.1, WP_004532917.1, WP_004536383.1, WP_004546600.1, WP_004552798.1, WP_004553733.1, WP_004553833.1, WP_004553835.1, WP_004553996.1	WP_000122080.1, WP_000426176.1, WP_000639996.1, WP_000965936.1, WP_000969784.1, WP_000973360.1, WP_001292353.1, WP_001295419.1	LFTS_00514	WP_036081469.1	WP_014450463.1	NP_249436.1, NP_249712.1, NP_249931.1, NP_250319.1, NP_250320.1, NP_250428.1, NP_250439.1, NP_250512.1, NP_250703.1, NP_251457.1, NP_251531.1, NP_251580.1, NP_251704.1, NP_252116.1, NP_252280.1, NP_252281.1, NP_253020.1, NP_253667.1, NP_253875.1	WP_005409472.1, WP_005411946.1, WP_012479449.1, WP_012479639.1, WP_012480080.1, WP_012480976.1	WP_011070437.1, WP_011070911.1, WP_011071830.1, WP_011072002.1, WP_011072985.1, WP_011073654.1, WP_011074323.1	WP_005409472.1, WP_005411946.1, WP_012479449.1, WP_012479639.1, WP_012480080.1, WP_012480976.1
OG0000009	IEKBFFFE_00581, IEKBFFFE_03014	OIDPMNJM_02111, OIDPMNJM_03222, OIDPMNJM_04369	LNLMDAFO_01878, LNLMDAFO_03275	KPCADNOF_01390, KPCADNOF_03305	AOV16340.1, AOV16425.1, AOV16788.1, AOV17655.1	APZ41853.1, APZ44364.1, APZ44542.1, APZ44600.1	OBS08686.1, OBS09361.1, OBS10116.1, OBS10202.1, OBS10964.1	AOU97882.1, AOU98754.1, AOU98904.1, AOU99241.1, AOU99727.1	WP_012536922.1	WP_010642164.1, WP_010642177.1	WP_004189255.1, WP_004194607.1, WP_004194706.1, WP_004195796.1, WP_004197150.1, WP_004197868.1, WP_004524934.1, WP_004526208.1, WP_004551481.1, WP_004553507.1	WP_000697926.1, WP_000770953.1, WP_001187173.1, WP_001221495.1, WP_001265471.1, WP_001395354.1	LFTS_00074	WP_036079756.1	WP_014448310.1	NP_249447.1, NP_249870.1, NP_250128.1, NP_251169.1, NP_251213.1, NP_251347.1, NP_251499.1, NP_251767.1, NP_253071.1, NP_253464.1, NP_253572.1	WP_002811889.1, WP_004136763.1, WP_005408670.1, WP_005408870.1, WP_005410617.1, WP_005410804.1, WP_005413615.1, WP_005414726.1, WP_012480412.1, WP_012480497.1, WP_012481218.1	WP_011070952.1, WP_011072043.1, WP_011072168.1, WP_011074070.1, WP_011074115.1, WP_011074219.1, WP_011074231.1, WP_011074241.1, WP_011074432.1	WP_002811889.1, WP_004136763.1, WP_005408670.1, WP_005408870.1, WP_005410617.1, WP_005410804.1, WP_005413615.1, WP_005414726.1, WP_012480412.1, WP_012480497.1, WP_012481218.1
