Orthogroup,overlaps,acidithiobacillus_ferrooxidans,acidithiobacillus_thiooxidans,burkholderia_pseudomallei,e_coli,l_ferriphilum.gbk,leptospirillum_ferrooxidans,pseudomonas_aeruginosa_pao1,s_maltophilia,shewanella_oneidensis,MEGAHIT-AR1_L2.36,MEGAHIT-AR2_L2.57,MEGAHIT-AR3_L2.6,MEGAHIT-AR4_L2.41,acidihalobacter_aeolianus,acidihalobacter_ferrooxydans,acidihalobacter_prosperus,acidihalobacter_yilgarnensis,acidithiobacillus_ferrooxidans_counts,acidithiobacillus_thiooxidans_counts,burkholderia_pseudomallei_counts,e_coli_counts,l_ferriphilum.gbk_counts,leptospirillum_ferrooxidans_counts,pseudomonas_aeruginosa_pao1_counts,s_maltophilia_counts,shewanella_oneidensis_counts,MEGAHIT-AR1_L2.36_counts,MEGAHIT-AR2_L2.57_counts,MEGAHIT-AR3_L2.6_counts,MEGAHIT-AR4_L2.41_counts,acidihalobacter_aeolianus_counts,acidihalobacter_ferrooxydans_counts,acidihalobacter_prosperus_counts,acidihalobacter_yilgarnensis_counts
OG0000001,9,,WP_010639966.1,"WP_004192300.1, WP_004526108.1",WP_001301332.1,"LFTS_00568, LFTS_00573",,"NP_249790.1, NP_254170.1, NP_254198.1",,,"IEKBFFFE_00199, IEKBFFFE_00468, IEKBFFFE_01147, IEKBFFFE_01456, IEKBFFFE_01781, IEKBFFFE_01911, IEKBFFFE_02288, IEKBFFFE_02290, IEKBFFFE_02629, IEKBFFFE_02766","OIDPMNJM_00796, OIDPMNJM_00840, OIDPMNJM_01332, OIDPMNJM_01730, OIDPMNJM_01732, OIDPMNJM_01898, OIDPMNJM_02300, OIDPMNJM_02385, OIDPMNJM_02445, OIDPMNJM_03423, OIDPMNJM_03651, OIDPMNJM_04216, OIDPMNJM_04454, OIDPMNJM_04866, OIDPMNJM_04982","LNLMDAFO_00299, LNLMDAFO_00569, LNLMDAFO_00571, LNLMDAFO_00963, LNLMDAFO_01065, LNLMDAFO_01405, LNLMDAFO_01925, LNLMDAFO_02212, LNLMDAFO_02813, LNLMDAFO_03308","KPCADNOF_00032, KPCADNOF_00055, KPCADNOF_00119, KPCADNOF_00390, KPCADNOF_00539, KPCADNOF_00554, KPCADNOF_00941, KPCADNOF_01089, KPCADNOF_01119, KPCADNOF_01167, KPCADNOF_01211, KPCADNOF_01215, KPCADNOF_01256, KPCADNOF_01285, KPCADNOF_01739, KPCADNOF_01892, KPCADNOF_02019, KPCADNOF_02029, KPCADNOF_02166, KPCADNOF_02233, KPCADNOF_02469, KPCADNOF_02524, KPCADNOF_02551, KPCADNOF_02676, KPCADNOF_02987, KPCADNOF_03001, KPCADNOF_03110, KPCADNOF_03828","AOV15752.1, AOV15864.1, AOV16627.1, AOV16629.1, AOV16840.1, AOV17442.1, AOV17775.1, AOV17859.1, AOV17887.1, AOV18245.1, AOV18671.1","APZ41721.1, APZ41924.1, APZ41950.1, APZ42977.1, APZ43001.1, APZ43185.1, APZ43381.1, APZ43957.1, APZ44609.1","OBS08105.1, OBS08243.1, OBS09011.1, OBS09039.1, OBS09391.1, OBS09493.1, OBS09827.1, OBS09829.1, OBS10501.1, OBS10617.1, OBS10708.1","AOU96748.1, AOU97348.1, AOU97386.1, AOU97654.1, AOU98475.1, AOU98983.1, AOU99263.1, AOU99348.1, AOU99699.1, AOU99757.1",0,1,2,1,2,0,3,0,0,10,15,10,28,11,9,11,10
OG0000002,3,,,,,,,NP_250114.1,WP_012481655.1,WP_011071256.1,"IEKBFFFE_01121, IEKBFFFE_03469, IEKBFFFE_03582, IEKBFFFE_03619","OIDPMNJM_00416, OIDPMNJM_01059, OIDPMNJM_01060, OIDPMNJM_02609, OIDPMNJM_04871, OIDPMNJM_05251","LNLMDAFO_02060, LNLMDAFO_02107, LNLMDAFO_02976, LNLMDAFO_03343","KPCADNOF_00344, KPCADNOF_02928, KPCADNOF_02976, KPCADNOF_03596","AOV15879.1, AOV16071.1, AOV16084.1, AOV16252.1, AOV16487.1, AOV16686.1, AOV16900.1, AOV17744.1, AOV18372.1, AOV18447.1, AOV18460.1, AOV18755.1","APZ43007.1, APZ43009.1","OBS07867.1, OBS08015.1, OBS08539.1, OBS08571.1, OBS08722.1, OBS09217.1, OBS09372.1, OBS09691.1, OBS09817.1, OBS09818.1, OBS09878.1, OBS10686.1","AOU96937.1, AOU97175.1, AOU97203.1, AOU97308.1, AOU97465.1, AOU97778.1, AOU97817.1, AOU98187.1, AOU98408.1, AOU98464.1, AOU98465.1, AOU98466.1, AOU99708.1, AOU99792.1",0,0,0,0,0,0,1,1,1,4,6,4,4,12,2,12,14
OG0000004,1,,,WP_004196705.1,,,,,,,"IEKBFFFE_00967, IEKBFFFE_01976, IEKBFFFE_02376, IEKBFFFE_02670, IEKBFFFE_02817, IEKBFFFE_02922, IEKBFFFE_03088","OIDPMNJM_00353, OIDPMNJM_00657, OIDPMNJM_00880, OIDPMNJM_00990, OIDPMNJM_01031, OIDPMNJM_01805, OIDPMNJM_02943","LNLMDAFO_00788, LNLMDAFO_00905, LNLMDAFO_01014, LNLMDAFO_01183, LNLMDAFO_01506, LNLMDAFO_02794, LNLMDAFO_03422",,"AOV16082.1, AOV16671.1, AOV16881.1, AOV17015.1, AOV17294.1, AOV17376.1, AOV17522.1, AOV18002.1, AOV18080.1, AOV18169.1","APZ42247.1, APZ42250.1, APZ42271.1, APZ43354.1, APZ43510.1, APZ43910.1","OBS08013.1, OBS08101.1, OBS08245.1, OBS08899.1, OBS09771.1, OBS09927.1, OBS10372.1, OBS10651.1","AOU96746.1, AOU96856.1, AOU96939.1, AOU97421.1, AOU97423.1, AOU97480.1, AOU98209.1, AOU98592.1",0,0,1,0,0,0,0,0,0,7,7,7,0,10,6,8,8
OG0000006,1,,,,,,,,,WP_011072711.1,"IEKBFFFE_00164, IEKBFFFE_00277","OIDPMNJM_00613, OIDPMNJM_01503, OIDPMNJM_01771, OIDPMNJM_01822, OIDPMNJM_04741","LNLMDAFO_01300, LNLMDAFO_01567","KPCADNOF_00507, KPCADNOF_00785, KPCADNOF_00925, KPCADNOF_01137, KPCADNOF_01409, KPCADNOF_01416, KPCADNOF_01631, KPCADNOF_02384, KPCADNOF_03316, KPCADNOF_03455, KPCADNOF_03772","AOV16094.1, AOV16958.1, AOV17286.1, AOV18352.1",APZ43650.1,"OBS07968.1, OBS09251.1, OBS10380.1, OBS10754.1","AOU98102.1, AOU98326.1, AOU99126.1, AOU99558.1, AOU99587.1",0,0,0,0,0,0,0,0,1,2,5,2,11,4,1,4,5
OG0000007,3,,,,WP_001157751.1,,,NP_252790.1,,WP_011073412.1,"IEKBFFFE_01744, IEKBFFFE_02448, IEKBFFFE_03754","OIDPMNJM_00388, OIDPMNJM_02720, OIDPMNJM_03837, OIDPMNJM_04942","LNLMDAFO_00473, LNLMDAFO_00609, LNLMDAFO_01029","KPCADNOF_00225, KPCADNOF_00372, KPCADNOF_00375, KPCADNOF_00589, KPCADNOF_01843, KPCADNOF_01853, KPCADNOF_02091","AOV15828.1, AOV15968.1, AOV17124.1, AOV17718.1","APZ44178.1, APZ44474.1","OBS08604.1, OBS09433.1, OBS10956.1","AOU97233.1, AOU97906.1, AOU99827.1",0,0,0,1,0,0,1,0,1,3,4,3,7,4,2,3,3
OG0000008,3,,,,,,,,,"WP_011070437.1, WP_011071830.1, WP_011072985.1","IEKBFFFE_00837, IEKBFFFE_02941","OIDPMNJM_01489, OIDPMNJM_02409, OIDPMNJM_02815","LNLMDAFO_02136, LNLMDAFO_02236","KPCADNOF_00113, KPCADNOF_00318, KPCADNOF_00319, KPCADNOF_01059, KPCADNOF_01506, KPCADNOF_02097, KPCADNOF_02369, KPCADNOF_02819, KPCADNOF_02832, KPCADNOF_02856, KPCADNOF_03178, KPCADNOF_03225, KPCADNOF_03433, KPCADNOF_03794, KPCADNOF_03795",,"APZ41730.1, APZ41815.1",OBS10672.1,AOU98189.1,0,0,0,0,0,0,0,0,3,2,3,2,15,0,2,1,1
OG0000009,2,,,,,,,NP_251213.1,,WP_011074070.1,"IEKBFFFE_00581, IEKBFFFE_03014","OIDPMNJM_02111, OIDPMNJM_03222, OIDPMNJM_04369","LNLMDAFO_01878, LNLMDAFO_03275","KPCADNOF_01390, KPCADNOF_03305","AOV16340.1, AOV16425.1, AOV16788.1, AOV17655.1","APZ41853.1, APZ44364.1, APZ44542.1, APZ44600.1","OBS08686.1, OBS09361.1, OBS10116.1, OBS10202.1, OBS10964.1","AOU97882.1, AOU98754.1, AOU98904.1, AOU99241.1, AOU99727.1",0,0,0,0,0,0,1,0,1,2,3,2,2,4,4,5,5
OG0000012,2,,,WP_004553683.1,,,,NP_252886.1,,,"IEKBFFFE_00483, IEKBFFFE_02858","OIDPMNJM_01347, OIDPMNJM_02984, OIDPMNJM_04401, OIDPMNJM_04928, OIDPMNJM_04931","LNLMDAFO_00829, LNLMDAFO_01080","KPCADNOF_00056, KPCADNOF_00138, KPCADNOF_00258, KPCADNOF_00969, KPCADNOF_01088, KPCADNOF_01216, KPCADNOF_01265, KPCADNOF_01284, KPCADNOF_01588, KPCADNOF_01703, KPCADNOF_01723, KPCADNOF_01740, KPCADNOF_02123, KPCADNOF_02180, KPCADNOF_02232, KPCADNOF_02365, KPCADNOF_02485, KPCADNOF_02550, KPCADNOF_02617, KPCADNOF_02675, KPCADNOF_02789, KPCADNOF_02817, KPCADNOF_02855, KPCADNOF_03477, KPCADNOF_03553, KPCADNOF_03584, KPCADNOF_03843, KPCADNOF_03887","AOV18168.1, AOV18569.1",,"OBS08244.1, OBS10313.1, OBS10502.1","AOU96747.1, AOU97510.1, AOU97655.1, AOU99549.1",0,0,1,0,0,0,1,0,0,2,5,2,28,2,0,3,4
OG0000013,2,,,WP_004552891.1,WP_000876011.1,,,,,,IEKBFFFE_00838,"OIDPMNJM_02408, OIDPMNJM_02647, OIDPMNJM_05179",LNLMDAFO_02235,"KPCADNOF_00018, KPCADNOF_00038, KPCADNOF_00099, KPCADNOF_00505, KPCADNOF_00939, KPCADNOF_00950, KPCADNOF_01147, KPCADNOF_01264, KPCADNOF_01479, KPCADNOF_02049, KPCADNOF_03024, KPCADNOF_03219, KPCADNOF_03819",,"APZ41729.1, APZ44201.1",OBS10824.1,AOU98066.1,0,0,1,1,0,0,0,0,0,1,3,1,13,0,2,1,1
OG0000014,3,,,,WP_000481509.1,,,NP_251276.1,WP_005413261.1,,,"OIDPMNJM_00002, OIDPMNJM_02264",,"KPCADNOF_02050, KPCADNOF_02051, KPCADNOF_02593, KPCADNOF_02936, KPCADNOF_02979, KPCADNOF_03752","AOV18348.1, AOV18407.1",,,,0,0,0,1,0,0,1,1,0,0,2,0,6,2,0,0,0
