Orthogroup	MEGAHIT-AR1_L2.36	MEGAHIT-AR2_L2.57	MEGAHIT-AR3_L2.6	MEGAHIT-AR4_L2.41	acidihalobacter_aeolianus	acidihalobacter_ferrooxydans	acidihalobacter_prosperus	acidihalobacter_yilgarnensis	acidithiobacillus_ferrooxidans	acidithiobacillus_thiooxidans	burkholderia_pseudomallei	e_coli	l_ferriphilum.gbk	leptospirillum_ferriphilum	leptospirillum_ferrooxidans	pseudomonas_aeruginosa_pao1	s_maltophilia	shewanella_oneidensis	stenotrophomonas_maltophilia
OG0009154	IEKBFFFE_00001																		
OG0009155	IEKBFFFE_00051																		
OG0009156	IEKBFFFE_00232																		
OG0009157	IEKBFFFE_00262																		
OG0009158	IEKBFFFE_00263																		
OG0009159	IEKBFFFE_00264																		
OG0009160	IEKBFFFE_00527																		
OG0009161	IEKBFFFE_00529																		
OG0009162	IEKBFFFE_00530																		
OG0009163	IEKBFFFE_00543																		
OG0009164	IEKBFFFE_00566																		
OG0009165	IEKBFFFE_00669																		
OG0009166	IEKBFFFE_00672																		
OG0009167	IEKBFFFE_00703																		
OG0009168	IEKBFFFE_00706																		
OG0009169	IEKBFFFE_00727																		
OG0009170	IEKBFFFE_00730																		
OG0009171	IEKBFFFE_00826																		
OG0009172	IEKBFFFE_00918																		
OG0009173	IEKBFFFE_00919																		
OG0009174	IEKBFFFE_00920																		
OG0009175	IEKBFFFE_00921																		
OG0009176	IEKBFFFE_00922																		
OG0009177	IEKBFFFE_00940																		
OG0009178	IEKBFFFE_01052																		
OG0009179	IEKBFFFE_01359																		
OG0009180	IEKBFFFE_01375																		
OG0009181	IEKBFFFE_01376																		
OG0009182	IEKBFFFE_01471																		
OG0009183	IEKBFFFE_01472																		
OG0009184	IEKBFFFE_01474																		
OG0009185	IEKBFFFE_01506																		
OG0009186	IEKBFFFE_01513																		
OG0009187	IEKBFFFE_01514																		
OG0009188	IEKBFFFE_01628																		
OG0009189	IEKBFFFE_01693																		
OG0009190	IEKBFFFE_01694																		
OG0009191	IEKBFFFE_01695																		
OG0009192	IEKBFFFE_01696																		
OG0009193	IEKBFFFE_01697																		
OG0009194	IEKBFFFE_01698																		
OG0009195	IEKBFFFE_01705																		
OG0009196	IEKBFFFE_01749																		
OG0009197	IEKBFFFE_01750																		
OG0009198	IEKBFFFE_01751																		
OG0009199	IEKBFFFE_01895																		
OG0009200	IEKBFFFE_02083																		
OG0009201	IEKBFFFE_02086																		
OG0009202	IEKBFFFE_02124																		
OG0009203	IEKBFFFE_02125																		
OG0009204	IEKBFFFE_02153																		
OG0009205	IEKBFFFE_02154																		
OG0009206	IEKBFFFE_02163																		
OG0009207	IEKBFFFE_02182																		
OG0009208	IEKBFFFE_02203																		
OG0009209	IEKBFFFE_02247																		
OG0009210	IEKBFFFE_02250																		
OG0009211	IEKBFFFE_02251																		
OG0009212	IEKBFFFE_02252																		
OG0009213	IEKBFFFE_02253																		
OG0009214	IEKBFFFE_02254																		
OG0009215	IEKBFFFE_02263																		
OG0009216	IEKBFFFE_02264																		
OG0009217	IEKBFFFE_02265																		
OG0009218	IEKBFFFE_02320																		
OG0009219	IEKBFFFE_02321																		
OG0009220	IEKBFFFE_02322																		
OG0009221	IEKBFFFE_02327																		
OG0009222	IEKBFFFE_02330																		
OG0009223	IEKBFFFE_02331																		
OG0009224	IEKBFFFE_02371																		
OG0009225	IEKBFFFE_02375																		
OG0009226	IEKBFFFE_02568																		
OG0009227	IEKBFFFE_02569																		
OG0009228	IEKBFFFE_02572																		
OG0009229	IEKBFFFE_02574																		
OG0009230	IEKBFFFE_02575																		
OG0009231	IEKBFFFE_02576																		
OG0009232	IEKBFFFE_02578																		
OG0009233	IEKBFFFE_02579																		
OG0009234	IEKBFFFE_02580																		
OG0009235	IEKBFFFE_02651																		
OG0009236	IEKBFFFE_02695																		
OG0009237	IEKBFFFE_02696																		
OG0009238	IEKBFFFE_02715																		
OG0009239	IEKBFFFE_02718																		
OG0009240	IEKBFFFE_02720																		
OG0009241	IEKBFFFE_02721																		
OG0009242	IEKBFFFE_02724																		
OG0009243	IEKBFFFE_02732																		
OG0009244	IEKBFFFE_02738																		
OG0009245	IEKBFFFE_02914																		
OG0009246	IEKBFFFE_02915																		
OG0009247	IEKBFFFE_02917																		
OG0009248	IEKBFFFE_02918																		
OG0009249	IEKBFFFE_02930																		
OG0009250	IEKBFFFE_02931																		
OG0009251	IEKBFFFE_02934																		
OG0009252	IEKBFFFE_02975																		
OG0009253	IEKBFFFE_03032																		
OG0009254	IEKBFFFE_03039																		
OG0009255	IEKBFFFE_03222																		
OG0009256	IEKBFFFE_03223																		
OG0009257	IEKBFFFE_03228																		
OG0009258	IEKBFFFE_03257																		
OG0009259	IEKBFFFE_03262																		
OG0009260	IEKBFFFE_03263																		
OG0009261	IEKBFFFE_03264																		
OG0009262	IEKBFFFE_03318																		
OG0009263	IEKBFFFE_03451																		
OG0009264	IEKBFFFE_03452																		
OG0009265	IEKBFFFE_03453																		
OG0009266	IEKBFFFE_03491																		
OG0009267	IEKBFFFE_03492																		
OG0009268	IEKBFFFE_03495																		
OG0009269	IEKBFFFE_03496																		
OG0009270	IEKBFFFE_03497																		
OG0009271	IEKBFFFE_03606																		
OG0009272	IEKBFFFE_03650																		
OG0009273	IEKBFFFE_03651																		
OG0009274	IEKBFFFE_03658																		
OG0009275	IEKBFFFE_03675																		
OG0009276	IEKBFFFE_03678																		
OG0009277	IEKBFFFE_03690																		
OG0009278	IEKBFFFE_03693																		
OG0009279	IEKBFFFE_03729																		
OG0009280	IEKBFFFE_03730																		
OG0009281	IEKBFFFE_03758																		
OG0009282	IEKBFFFE_03759																		
OG0009283	IEKBFFFE_03760																		
OG0009284	IEKBFFFE_03770																		
OG0009285	IEKBFFFE_03771																		
OG0009286		OIDPMNJM_00005																	
OG0009287		OIDPMNJM_00006																	
OG0009288		OIDPMNJM_00015																	
OG0009289		OIDPMNJM_00016																	
OG0009290		OIDPMNJM_00024																	
OG0009291		OIDPMNJM_00026																	
OG0009292		OIDPMNJM_00027																	
OG0009293		OIDPMNJM_00029																	
OG0009294		OIDPMNJM_00030																	
OG0009295		OIDPMNJM_00031																	
OG0009296		OIDPMNJM_00032																	
OG0009297		OIDPMNJM_00041																	
OG0009298		OIDPMNJM_00044																	
OG0009299		OIDPMNJM_00084																	
OG0009300		OIDPMNJM_00086																	
OG0009301		OIDPMNJM_00119																	
OG0009302		OIDPMNJM_00122																	
OG0009303		OIDPMNJM_00142																	
OG0009304		OIDPMNJM_00143																	
OG0009305		OIDPMNJM_00144																	
OG0009306		OIDPMNJM_00149																	
OG0009307		OIDPMNJM_00158																	
OG0009308		OIDPMNJM_00197																	
OG0009309		OIDPMNJM_00202																	
OG0009310		OIDPMNJM_00203																	
OG0009311		OIDPMNJM_00235																	
OG0009312		OIDPMNJM_00239																	
OG0009313		OIDPMNJM_00240																	
OG0009314		OIDPMNJM_00245																	
OG0009315		OIDPMNJM_00247																	
OG0009316		OIDPMNJM_00248																	
